"* path","* content","* id","* title","* title_breadcrumb","* title_h1","* title_label","* title_full","* logical_path","* list_flg","* layout","* orderby","* keywords","* description","* category_top_flg","* role","* proc_type","* **delete_flg"
"/index.html",,,"ホーム",,,,,,1,"top",,,,,,,
"/sample_pages/index.html",,,"はじめに",,,,,,1,,,"getstart, sample","はじめて Pickles 2 を使う方のための情報をご紹介します。",1,,,
"/sample_pages/getstart/try_sitemap.html",,,"サイトマップを編集してみよう",,,,,"/sample_pages/index.html",1,,,"getstart, sample","サイトマップの編集方法をご紹介します。",,,,
"/sample_pages/getstart/try_theme.html",,,"テーマを編集してみよう",,,,,"/sample_pages/index.html",1,,,"getstart, sample","テーマの編集方法をご紹介します。",,,,
"/sample_pages/getstart/try_contents.html",,,"コンテンツを編集してみよう",,,,,"/sample_pages/index.html",1,,,"getstart, sample","コンテンツの編集方法をご紹介します。",,,,
"/sample_pages/getstart/try_publish.html",,,"パブリッシュしてみよう",,,,,"/sample_pages/index.html",1,,,"getstart, sample","パブリッシュの方法をご紹介します。",,,,
"/sample_pages/getstart/try_your_project.html",,,"自分のサイトを編集しよう",,,,,"/sample_pages/index.html",1,,,"getstart, sample","サンプルコンテンツを削除して、オリジナルのサイトを制作する手順をご紹介します。",,,,
"/sample_pages/training/index.html",,,"編集してみよう",,,,,,1,,,"training, チュートリアル","ブランクなページを編集してみてください。",1,,,
"/sample_pages/training/training_001.html",,,"練習ページ1",,,,,"/sample_pages/training/index.html",1,,,"training, チュートリアル","ブランクページ 1。",,,,
"/sample_pages/training/training_002.html",,,"練習ページ2",,,,,"/sample_pages/training/index.html",1,,,"training, チュートリアル","ブランクページ 2。",,,,
"/sample_pages/training/training_003.html",,,"練習ページ3",,,,,"/sample_pages/training/index.html",1,,,"training, チュートリアル","ブランクページ 3。",,,,
"/sample_pages/training/training_004.html",,,"練習ページ4",,,,,"/sample_pages/training/index.html",1,,,"training, チュートリアル","ブランクページ 4。",,,,
"/sample_pages/training/training_005.html",,,"練習ページ5",,,,,"/sample_pages/training/index.html",1,,,"training, チュートリアル","ブランクページ 5。",,,,
"/sample_pages/training/training_006.html",,,"練習ページ6",,,,,"/sample_pages/training/index.html",1,,,"training, チュートリアル","ブランクページ 6。",,,,
"/sample_pages/samples/index.html",,,"さまざまな機能",,,,,,1,,,"実装サンプル, 機能紹介","Pickles 2 のさまざまな機能をご紹介します。",1,,,
